key,value
Anti-Black or African American,22
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),7
Anti-White,5
Anti-Asian,3
Anti-Jewish,3
Anti-Multiple Races Group,2
Anti-Lesbian (Female),2
Anti-Gay (Male),2
Anti-Physical Disability,1
Anti-Islamic (Muslim),1
Anti-Catholic,1
"Anti-Other Race/Ethnicity/Ancestry",0
"Multiple Bias",0
"Anti-Atheism/Agnosticism",0
"Anti-Other Christian",0
"Anti-Male",0
"Anti-Buddhist",0
"Anti-Sikh",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Mental Disability",0
"Anti-Arab",0
"Anti-Heterosexual",0
"Anti-Transgender",0
"Anti-Multiple Religions, Group",0
"Anti-Hispanic or Latino",0
"Anti-American Indian or Alaska Native",0
"Anti-Bisexual",0
"Anti-Jehovahs Witness",0
"Anti-Protestant",0
"Anti-Hindu",0
"Anti-Other Religion",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
"Anti-Gender Non-Conforming",0
"Anti-Female",0
"Anti-Church of Jesus Christ",0
